  Lingada(id=0, Orden=5175402, colada=28300, producto=85331)
  Lingada(id=51, Orden=5096905, colada=59693, producto=86217)
  Lingada(id=52, Orden=5096905, colada=59693, producto=86217)
  Lingada(id=53, Orden=5096905, colada=59693, producto=86217)
  Lingada(id=54, Orden=5096905, colada=59693, producto=86217)
  Lingada(id=55, Orden=5096905, colada=59693, producto=86217)
  Lingada(id=56, Orden=5096905, colada=59694, producto=86217)
  Lingada(id=57, Orden=5096905, colada=59694, producto=86217)
  Lingada(id=58, Orden=5096905, colada=59694, producto=86217)
  Lingada(id=59, Orden=5096905, colada=59694, producto=86217)
  Lingada(id=60, Orden=5096905, colada=59694, producto=86217)
  Lingada(id=61, Orden=5096905, colada=59694, producto=86217)
  Lingada(id=62, Orden=5096905, colada=59695, producto=86217)
  Lingada(id=63, Orden=5096905, colada=59695, producto=86217)
  Lingada(id=64, Orden=5096905, colada=59695, producto=86217)
  Lingada(id=65, Orden=5096905, colada=59695, producto=86217)
  Lingada(id=66, Orden=5096905, colada=59695, producto=86217)
  Lingada(id=67, Orden=5096905, colada=59695, producto=86217)
  Lingada(id=68, Orden=5096905, colada=59695, producto=86217)
  Lingada(id=69, Orden=5096905, colada=59696, producto=86217)
  Lingada(id=70, Orden=5096905, colada=59696, producto=86217)
  Lingada(id=71, Orden=5096905, colada=59696, producto=86217)
  Lingada(id=72, Orden=5096905, colada=59696, producto=86217)
  Lingada(id=73, Orden=5096905, colada=59696, producto=86217)
  Lingada(id=74, Orden=5096905, colada=59696, producto=86217)
  Lingada(id=75, Orden=5096905, colada=59130, producto=86217)

Total de lingadas cargadas desde 'Lingadas': 76

7A11 → 3 lingadas @ (287.1, 104.17)
  Lingada(id=D0919830, Orden=943732, colada=7686, producto=9117)
  Lingada(id=D0919832, Orden=943732, colada=7686, producto=9117)
  Lingada(id=D0919831, Orden=943732, colada=7686, producto=9117)
7A12 → 6 lingadas @ (302.8, 104.17)
  Lingada(id=D0922631, Orden=5141101, colada=28496, producto=85631)
  Lingada(id=E1836255, Orden=5188001, colada=28362, producto=70016)
  Lingada(id=E1836254, Orden=5188001, colada=28362, producto=70016)
  Lingada(id=E1836256, Orden=5188001, colada=28362, producto=70016)
  Lingada(id=D0922000, Orden=8076001, colada=28706, producto=85010)
  Lingada(id=D0913998, Orden=5168101, colada=59455, producto=85336)
7A13 → 6 lingadas @ (318.5, 104.17)
  Lingada(id=E1835206, Orden=5174501, colada=28556, producto=26001)
  Lingada(id=E1835207, Orden=5174501, colada=28556, producto=26001)
  Lingada(id=E1836125, Orden=8076001, colada=23742, producto=85010)
  Lingada(id=D0924745, Orden=945184, colada=59151, producto=14840)
  Lingada(id=D0924748, Orden=945184, colada=59628, producto=14840)
  Lingada(id=D0924642, Orden=5175402, colada=28300, producto=85331)
7A14 → 13 lingadas @ (334.2, 104.17)
  Lingada(id=D0900969, Orden=5067604, colada=58312, producto=85127)
  Lingada(id=D0899110, Orden=5067604, colada=58312, producto=85127)
  Lingada(id=D0898841, Orden=5067604, colada=58312, producto=85127)
  Lingada(id=D0900254, Orden=5067604, colada=58312, producto=85127)
  Lingada(id=D0902273, Orden=5067604, colada=58312, producto=85127)
  Lingada(id=D0898283, Orden=5067604, colada=58312, producto=85127)
  Lingada(id=D0897405, Orden=5067604, colada=58312, producto=85127)
  Lingada(id=D0899459, Orden=5067604, colada=58312, producto=85127)
  Lingada(id=D0888886, Orden=946717, colada=58330, producto=11185)
  Lingada(id=D0923233, Orden=5072201, colada=58797, producto=85115)
  Lingada(id=E1836247, Orden=945179, colada=55838, producto=50562)
  Lingada(id=E1836245, Orden=945179, colada=56687, producto=50562)
  Lingada(id=E1836249, Orden=945179, colada=55838, producto=50562)
7B11 → 3 lingadas @ (287.1, 107.2)
  Lingada(id=D0924994, Orden=5060101, colada=29030, producto=84971)
  Lingada(id=D0924995, Orden=5060101, colada=29030, producto=84971)
  Lingada(id=D0920917, Orden=5179701, colada=58782, producto=85197)
7B12 → 4 lingadas @ (302.8, 107.2)
  Lingada(id=D0921149, Orden=8054401, colada=59455, producto=85089)
  Lingada(id=D0923133, Orden=5072201, colada=58794, producto=85115)
  Lingada(id=D0923134, Orden=5072201, colada=58790, producto=85115)
  Lingada(id=D0923955, Orden=5060101, colada=59664, producto=84971)
7B13 → 5 lingadas @ (318.5, 107.2)
  Lingada(id=D0923954, Orden=5060101, colada=59664, producto=84971)
  Lingada(id=E1836260, Orden=5181401, colada=28659, producto=15004)
  Lingada(id=E1836258, Orden=5181401, colada=28659, producto=15004)
  Lingada(id=E1836257, Orden=5181401, colada=28659, producto=15004)
  Lingada(id=E1836259, Orden=5181401, colada=28659, producto=15004)
7B14 → 4 lingadas @ (334.2, 107.2)
  Lingada(id=D0924773, Orden=945184, colada=59628, producto=14840)
  Lingada(id=D0924778, Orden=945184, colada=59628, producto=14840)
  Lingada(id=D0924785, Orden=5192401, colada=53441, producto=15870)
  Lingada(id=D0924786, Orden=5192401, colada=53423, producto=15870)
7C1 → 25 lingadas @ (128.47, 111.57)
  Lingada(id=E1837655, Orden=8081901, colada=57252, producto=85426)
  Lingada(id=E1837656, Orden=8081901, colada=57252, producto=85426)
  Lingada(id=E1837659, Orden=8081901, colada=59445, producto=85426)
  Lingada(id=E1837660, Orden=8081901, colada=28566, producto=85426)
  Lingada(id=E1837661, Orden=8081901, colada=28566, producto=85426)
  Lingada(id=E1837662, Orden=8081901, colada=28566, producto=85426)
  Lingada(id=E1837663, Orden=8081901, colada=57252, producto=85426)
  Lingada(id=E1837664, Orden=8081901, colada=59762, producto=85426)
  Lingada(id=E1837665, Orden=8081901, colada=57252, producto=85426)
  Lingada(id=E1837666, Orden=8081901, colada=59762, producto=85426)
  Lingada(id=E1837667, Orden=8081901, colada=59762, producto=85426)
  Lingada(id=E1837668, Orden=8081901, colada=59762, producto=85426)
  Lingada(id=E1837669, Orden=8081901, colada=59762, producto=85426)
  Lingada(id=E1837670, Orden=8081901, colada=59762, producto=85426)
  Lingada(id=E1837671, Orden=8081901, colada=59762, producto=85426)
  Lingada(id=E1837672, Orden=8081901, colada=59762, producto=85426)
  Lingada(id=E1837673, Orden=8081901, colada=59762, producto=85426)
  Lingada(id=E1837674, Orden=8081901, colada=59762, producto=85426)
  Lingada(id=E1837675, Orden=8081901, colada=59762, producto=85426)
  Lingada(id=E1837676, Orden=8081901, colada=59762, producto=85426)
  Lingada(id=E1837677, Orden=8081901, colada=59763, producto=85426)
  Lingada(id=E1837678, Orden=8081901, colada=59763, producto=85426)
  Lingada(id=E1837679, Orden=8081901, colada=59763, producto=85426)
  Lingada(id=E1837680, Orden=8081901, colada=59763, producto=85426)
  Lingada(id=E1837681, Orden=8081901, colada=59763, producto=85426)
7C10 → 0 lingadas @ (269.9, 111.57)
7C11 → 1 lingadas @ (287.1, 111.57)
  Lingada(id=D0919507, Orden=5726209, colada=57211, producto=84971)
7C12 → 16 lingadas @ (302.8, 111.57)
  Lingada(id=D0924415, Orden=5194401, colada=59708, producto=85380)
  Lingada(id=D0924420, Orden=5194401, colada=59708, producto=85380)
  Lingada(id=D0924422, Orden=5194401, colada=59708, producto=85380)
  Lingada(id=D0924425, Orden=5194401, colada=59708, producto=85380)
  Lingada(id=D0924426, Orden=5194401, colada=59708, producto=85380)
  Lingada(id=D0924428, Orden=5194401, colada=59707, producto=85380)
  Lingada(id=D0924434, Orden=5194401, colada=59707, producto=85380)
  Lingada(id=D0924438, Orden=5194401, colada=59707, producto=85380)
  Lingada(id=D0924447, Orden=5194401, colada=59707, producto=85380)
  Lingada(id=D0924448, Orden=5194401, colada=59707, producto=85380)
  Lingada(id=D0924456, Orden=5194401, colada=59707, producto=85380)
  Lingada(id=D0924461, Orden=5194401, colada=59707, producto=85380)
  Lingada(id=D0924462, Orden=5194401, colada=59707, producto=85380)
  Lingada(id=D0924465, Orden=5194401, colada=59707, producto=85380)
  Lingada(id=D0924466, Orden=5194401, colada=59707, producto=85380)
  Lingada(id=D0924474, Orden=5194401, colada=59707, producto=85380)
7C13 → 2 lingadas @ (318.5, 111.57)
  Lingada(id=E1833611, Orden=8054401, colada=59455, producto=85089)
  Lingada(id=D0919500, Orden=5060102, colada=59024, producto=84971)
7C14 → 6 lingadas @ (334.2, 111.57)
  Lingada(id=E1836724, Orden=5191403, colada=49845, producto=50129)
  Lingada(id=E1836726, Orden=5191403, colada=51438, producto=50129)
  Lingada(id=E1836725, Orden=5191403, colada=49845, producto=50129)
  Lingada(id=E1836748, Orden=8084601, colada=27930, producto=23326)
  Lingada(id=E1836749, Orden=8084601, colada=27930, producto=23326)
  Lingada(id=E1836727, Orden=5191403, colada=52249, producto=50129)
7C2 → 0 lingadas @ (144.3, 111.57)
7C3 → 12 lingadas @ (160.0, 111.57)
  Lingada(id=D0922565, Orden=5607104, colada=59613, producto=84851)
  Lingada(id=E1836728, Orden=945180, colada=28660, producto=50353)
  Lingada(id=E1836729, Orden=945180, colada=28660, producto=50353)
  Lingada(id=E1836730, Orden=945180, colada=28660, producto=50353)
  Lingada(id=E1836731, Orden=945180, colada=28660, producto=50353)
  Lingada(id=E1836732, Orden=945180, colada=28660, producto=50353)
  Lingada(id=E1836733, Orden=945180, colada=28660, producto=50353)
  Lingada(id=E1836734, Orden=945180, colada=28660, producto=50353)
  Lingada(id=E1836735, Orden=945180, colada=28660, producto=50353)
  Lingada(id=E1836736, Orden=945180, colada=28660, producto=50353)
  Lingada(id=E1837603, Orden=946741, colada=44323, producto=74003)
  Lingada(id=E1837604, Orden=946741, colada=44323, producto=74003)
7C4 → 14 lingadas @ (175.7, 111.57)
  Lingada(id=E1837199, Orden=8069501, colada=59632, producto=85010)
  Lingada(id=E1837200, Orden=8069501, colada=59632, producto=85010)
  Lingada(id=E1837201, Orden=8069501, colada=59632, producto=85010)
  Lingada(id=E1837202, Orden=8069501, colada=59632, producto=85010)
  Lingada(id=E1837203, Orden=8069501, colada=59632, producto=85010)
  Lingada(id=E1837204, Orden=8069501, colada=59632, producto=85010)
  Lingada(id=E1837205, Orden=8076001, colada=59632, producto=85010)
  Lingada(id=E1837206, Orden=8076001, colada=59632, producto=85010)
  Lingada(id=E1837207, Orden=8076001, colada=59632, producto=85010)
  Lingada(id=E1837208, Orden=8076001, colada=59632, producto=85010)
  Lingada(id=E1837209, Orden=8076001, colada=59632, producto=85010)
  Lingada(id=E1837210, Orden=8076001, colada=28848, producto=85010)
  Lingada(id=E1837211, Orden=8076001, colada=28848, producto=85010)
  Lingada(id=E1837212, Orden=8076001, colada=28848, producto=85010)
7C5 → 15 lingadas @ (191.4, 111.57)
  Lingada(id=E1837045, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837046, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837047, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837048, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837049, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837050, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837051, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837052, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837053, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837054, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837055, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837056, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837057, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837058, Orden=8084401, colada=59699, producto=23022)
  Lingada(id=E1837059, Orden=8084401, colada=59699, producto=23022)
7C6 → 13 lingadas @ (207.1, 111.57)
  Lingada(id=E1837545, Orden=5607104, colada=28922, producto=84851)
  Lingada(id=E1837546, Orden=5607104, colada=28922, producto=84851)
  Lingada(id=E1837547, Orden=5607104, colada=28922, producto=84851)
  Lingada(id=E1837548, Orden=5607104, colada=28922, producto=84851)
  Lingada(id=E1837549, Orden=5607104, colada=28922, producto=84851)
  Lingada(id=E1837550, Orden=5607104, colada=28922, producto=84851)
  Lingada(id=E1837551, Orden=5607104, colada=28056, producto=84851)
  Lingada(id=E1837552, Orden=5607104, colada=28056, producto=84851)
  Lingada(id=E1837553, Orden=5607104, colada=28056, producto=84851)
  Lingada(id=E1837554, Orden=5607104, colada=28056, producto=84851)
  Lingada(id=E1837555, Orden=5607104, colada=28056, producto=84851)
  Lingada(id=E1837556, Orden=5607104, colada=28056, producto=84851)
  Lingada(id=E1837557, Orden=5607104, colada=28056, producto=84851)
7C7 → 26 lingadas @ (222.8, 111.57)
  Lingada(id=E1837714, Orden=8076701, colada=59758, producto=85426)
  Lingada(id=E1837715, Orden=8076701, colada=59758, producto=85426)
  Lingada(id=E1837716, Orden=8076701, colada=59758, producto=85426)
  Lingada(id=E1835884, Orden=5191204, colada=57142, producto=50013)
  Lingada(id=E1835882, Orden=5191204, colada=56196, producto=50013)
  Lingada(id=E1835883, Orden=5191204, colada=52166, producto=50013)
  Lingada(id=E1837717, Orden=8076701, colada=59758, producto=85426)
  Lingada(id=E1837718, Orden=8076701, colada=59758, producto=85426)
  Lingada(id=E1837719, Orden=8076701, colada=59758, producto=85426)
  Lingada(id=E1837720, Orden=8076701, colada=59758, producto=85426)
  Lingada(id=E1837721, Orden=8076701, colada=59758, producto=85426)
  Lingada(id=E1837722, Orden=8076701, colada=59758, producto=85426)
  Lingada(id=E1837723, Orden=8076701, colada=59758, producto=85426)
  Lingada(id=E1837724, Orden=8076701, colada=59758, producto=85426)
  Lingada(id=E1837725, Orden=8076701, colada=59758, producto=85426)
  Lingada(id=E1837726, Orden=8076701, colada=59759, producto=85426)
  Lingada(id=E1837727, Orden=8076701, colada=59759, producto=85426)
  Lingada(id=E1837728, Orden=8076701, colada=59759, producto=85426)
  Lingada(id=E1837729, Orden=8076701, colada=59759, producto=85426)
  Lingada(id=E1837730, Orden=8076701, colada=59759, producto=85426)
  Lingada(id=E1837731, Orden=8076701, colada=59759, producto=85426)
  Lingada(id=E1837732, Orden=8076701, colada=59759, producto=85426)
  Lingada(id=E1837733, Orden=8076701, colada=59759, producto=85426)
  Lingada(id=E1837734, Orden=8076701, colada=59759, producto=85426)
  Lingada(id=E1837735, Orden=8076701, colada=59759, producto=85426)
  Lingada(id=E1837736, Orden=8076701, colada=59759, producto=85426)
7C8 → 10 lingadas @ (238.5, 111.57)
  Lingada(id=E1837024, Orden=8054401, colada=28700, producto=85089)
  Lingada(id=E1837025, Orden=8054401, colada=28700, producto=85089)
  Lingada(id=E1837026, Orden=8054401, colada=28700, producto=85089)
  Lingada(id=E1837027, Orden=8054401, colada=28700, producto=85089)
  Lingada(id=E1837028, Orden=8054401, colada=28700, producto=85089)
  Lingada(id=E1837029, Orden=8054401, colada=28700, producto=85089)
  Lingada(id=E1836253, Orden=5174204, colada=28659, producto=62649)
  Lingada(id=E1837316, Orden=5174502, colada=26835, producto=26000)
  Lingada(id=E1837317, Orden=5174502, colada=26835, producto=26000)
  Lingada(id=E1837318, Orden=5174502, colada=26835, producto=26000)
7C9 → 0 lingadas @ (254.2, 111.57)
7D1 → 12 lingadas @ (128.47, 114.6)
  Lingada(id=E1836991, Orden=946739, colada=59702, producto=11310)
  Lingada(id=E1836992, Orden=946739, colada=59702, producto=11310)
  Lingada(id=E1836993, Orden=946739, colada=59702, producto=11310)
  Lingada(id=E1836994, Orden=946739, colada=59702, producto=11310)
  Lingada(id=E1836995, Orden=946739, colada=59702, producto=11310)
  Lingada(id=E1836996, Orden=946739, colada=59702, producto=11310)
  Lingada(id=E1836997, Orden=946739, colada=59702, producto=11310)
  Lingada(id=E1836998, Orden=946739, colada=59702, producto=11310)
  Lingada(id=E1836999, Orden=946739, colada=59702, producto=11310)
  Lingada(id=E1837000, Orden=946739, colada=59702, producto=11310)
  Lingada(id=E1837001, Orden=946739, colada=28967, producto=11310)
  Lingada(id=E1837002, Orden=946739, colada=24645, producto=11310)
7D10 → 8 lingadas @ (269.9, 114.6)
  Lingada(id=E1837350, Orden=936861, colada=59741, producto=9173)
  Lingada(id=E1837351, Orden=936861, colada=59741, producto=9173)
  Lingada(id=E1837352, Orden=936861, colada=59741, producto=9173)
  Lingada(id=E1837346, Orden=936861, colada=59740, producto=9173)
  Lingada(id=E1837349, Orden=936861, colada=59741, producto=9173)
  Lingada(id=E1837345, Orden=936861, colada=59740, producto=9173)
  Lingada(id=E1837348, Orden=936861, colada=59740, producto=9173)
  Lingada(id=E1837347, Orden=936861, colada=59740, producto=9173)
7D11 → 6 lingadas @ (287.1, 114.6)
  Lingada(id=E1836161, Orden=946732, colada=28352, producto=11945)
  Lingada(id=E1836160, Orden=946732, colada=28670, producto=11945)
  Lingada(id=D0914279, Orden=5168101, colada=28318, producto=85336)
  Lingada(id=D0914276, Orden=5168101, colada=59455, producto=85336)
  Lingada(id=E1836917, Orden=8077001, colada=56330, producto=85096)
  Lingada(id=E1836163, Orden=946732, colada=28352, producto=11945)
7D12 → 14 lingadas @ (302.8, 114.6)
  Lingada(id=D0921120, Orden=8067501, colada=28715, producto=85250)
  Lingada(id=D0921121, Orden=8067501, colada=28715, producto=85250)
  Lingada(id=D0921126, Orden=8067501, colada=28715, producto=85250)
  Lingada(id=D0921133, Orden=8067501, colada=28715, producto=85250)
  Lingada(id=D0921140, Orden=8067501, colada=28715, producto=85250)
  Lingada(id=D0921175, Orden=8067501, colada=28715, producto=85250)
  Lingada(id=D0921182, Orden=8067501, colada=28715, producto=85250)
  Lingada(id=D0921222, Orden=8067501, colada=28715, producto=85250)
  Lingada(id=D0921224, Orden=8067501, colada=28715, producto=85250)
  Lingada(id=D0921226, Orden=8067501, colada=28715, producto=85250)
  Lingada(id=D0891634, Orden=5067605, colada=58455, producto=85127)
  Lingada(id=D0891603, Orden=5067605, colada=58455, producto=85127)
  Lingada(id=D0922642, Orden=946732, colada=28352, producto=11945)
  Lingada(id=D0922643, Orden=946732, colada=28352, producto=11945)
7D13 → 12 lingadas @ (318.5, 114.6)
  Lingada(id=D0925458, Orden=5060101, colada=59735, producto=84971)
  Lingada(id=D0925466, Orden=5060101, colada=59735, producto=84971)
  Lingada(id=D0925503, Orden=5060101, colada=59735, producto=84971)
  Lingada(id=D0925524, Orden=5060101, colada=59735, producto=84971)
  Lingada(id=D0925544, Orden=5060101, colada=59737, producto=84971)
  Lingada(id=D0925550, Orden=5060101, colada=59737, producto=84971)
  Lingada(id=D0925581, Orden=5060101, colada=59737, producto=84971)
  Lingada(id=D0925592, Orden=5060101, colada=59737, producto=84971)
  Lingada(id=D0925603, Orden=5060101, colada=59737, producto=84971)
  Lingada(id=D0925613, Orden=5060101, colada=59736, producto=84971)
  Lingada(id=D0925624, Orden=5060101, colada=59736, producto=84971)
  Lingada(id=D0925626, Orden=5060101, colada=59736, producto=84971)
7D14 → 7 lingadas @ (334.2, 114.6)
  Lingada(id=D0925089, Orden=945539, colada=59739, producto=9706)
  Lingada(id=D0925106, Orden=945539, colada=59739, producto=9706)
  Lingada(id=D0925111, Orden=945539, colada=59738, producto=9706)
  Lingada(id=D0925123, Orden=945539, colada=59738, producto=9706)
  Lingada(id=D0925133, Orden=945539, colada=59738, producto=9706)
  Lingada(id=D0925246, Orden=5060101, colada=29030, producto=84971)
  Lingada(id=D0925476, Orden=5060101, colada=59735, producto=84971)
7D15 → 0 lingadas @ (349.9, 114.6)
7D2 → 0 lingadas @ (144.3, 114.6)
7D3 → 24 lingadas @ (160.0, 114.6)
  Lingada(id=E1837682, Orden=8081901, colada=59763, producto=85426)
  Lingada(id=E1837683, Orden=8081901, colada=59763, producto=85426)
  Lingada(id=E1837684, Orden=8081901, colada=59763, producto=85426)
  Lingada(id=E1837685, Orden=8081901, colada=59763, producto=85426)
  Lingada(id=E1837686, Orden=8081901, colada=59763, producto=85426)
  Lingada(id=E1837687, Orden=8081901, colada=59763, producto=85426)
  Lingada(id=E1837688, Orden=8081901, colada=59763, producto=85426)
  Lingada(id=E1837689, Orden=8081901, colada=59764, producto=85426)
  Lingada(id=E1837690, Orden=8081901, colada=59764, producto=85426)
  Lingada(id=E1837691, Orden=8081901, colada=59764, producto=85426)
  Lingada(id=E1837692, Orden=8081901, colada=59764, producto=85426)
  Lingada(id=E1837693, Orden=8081901, colada=59764, producto=85426)
  Lingada(id=E1837694, Orden=8081901, colada=59764, producto=85426)
  Lingada(id=E1837695, Orden=8081901, colada=59764, producto=85426)
  Lingada(id=E1837696, Orden=8081901, colada=59764, producto=85426)
  Lingada(id=E1837697, Orden=8081901, colada=59764, producto=85426)
  Lingada(id=E1837698, Orden=8081901, colada=59764, producto=85426)
  Lingada(id=E1837699, Orden=8081901, colada=59764, producto=85426)
  Lingada(id=E1837700, Orden=8081901, colada=59764, producto=85426)
  Lingada(id=E1837701, Orden=8081901, colada=59765, producto=85426)
  Lingada(id=E1837702, Orden=8081901, colada=59765, producto=85426)
  Lingada(id=E1837703, Orden=8081901, colada=59765, producto=85426)
  Lingada(id=E1837704, Orden=8081901, colada=59765, producto=85426)
  Lingada(id=E1837705, Orden=8081901, colada=59765, producto=85426)
7D4 → 21 lingadas @ (175.7, 114.6)
  Lingada(id=E1837005, Orden=8077001, colada=27693, producto=85096)
  Lingada(id=E1837006, Orden=8077001, colada=27693, producto=85096)
  Lingada(id=E1837007, Orden=8077001, colada=27693, producto=85096)
  Lingada(id=E1837008, Orden=8077001, colada=59126, producto=85096)
  Lingada(id=E1837009, Orden=8077001, colada=59126, producto=85096)
  Lingada(id=E1837010, Orden=8077001, colada=59126, producto=85096)
  Lingada(id=E1837011, Orden=8077001, colada=28597, producto=85096)
  Lingada(id=E1837012, Orden=8077001, colada=57650, producto=85096)
  Lingada(id=E1837013, Orden=8077001, colada=28597, producto=85096)
  Lingada(id=E1837014, Orden=8077001, colada=28597, producto=85096)
  Lingada(id=E1837015, Orden=8077001, colada=28597, producto=85096)
  Lingada(id=E1837016, Orden=8077001, colada=28597, producto=85096)
  Lingada(id=E1837017, Orden=8077001, colada=28597, producto=85096)
  Lingada(id=E1837018, Orden=8077001, colada=59467, producto=85096)
  Lingada(id=E1837019, Orden=8077001, colada=59467, producto=85096)
  Lingada(id=E1837020, Orden=8077001, colada=59467, producto=85096)
  Lingada(id=E1837021, Orden=8077001, colada=59467, producto=85096)
  Lingada(id=E1837022, Orden=8077001, colada=28604, producto=85096)
  Lingada(id=E1837023, Orden=8077001, colada=28604, producto=85096)
  Lingada(id=E1837003, Orden=8077001, colada=27908, producto=85096)
  Lingada(id=E1837004, Orden=8077001, colada=27693, producto=85096)
7D5 → 13 lingadas @ (191.4, 114.6)
  Lingada(id=E1833606, Orden=8054401, colada=59455, producto=85089)
  Lingada(id=E1833607, Orden=8054401, colada=59455, producto=85089)
  Lingada(id=E1833608, Orden=8054401, colada=59455, producto=85089)
  Lingada(id=E1833609, Orden=8054401, colada=59455, producto=85089)
  Lingada(id=E1833605, Orden=8054401, colada=59455, producto=85089)
  Lingada(id=E1833602, Orden=8054401, colada=59455, producto=85089)
  Lingada(id=E1833604, Orden=8054401, colada=59455, producto=85089)
  Lingada(id=E1833603, Orden=8054401, colada=27901, producto=85089)
  Lingada(id=E1836066, Orden=935808, colada=51792, producto=11966)
  Lingada(id=E1836065, Orden=935808, colada=51792, producto=11966)
  Lingada(id=E1836069, Orden=935808, colada=51792, producto=11966)
  Lingada(id=E1836068, Orden=935808, colada=51792, producto=11966)
  Lingada(id=E1836067, Orden=935808, colada=51792, producto=11966)
7D6 → 10 lingadas @ (207.1, 114.6)
  Lingada(id=E1836802, Orden=948018, colada=59369, producto=9156)
  Lingada(id=E1836803, Orden=948018, colada=59369, producto=9156)
  Lingada(id=E1836804, Orden=948018, colada=59369, producto=9156)
  Lingada(id=E1836805, Orden=948018, colada=59369, producto=9156)
  Lingada(id=E1836806, Orden=948018, colada=59367, producto=9156)
  Lingada(id=E1836811, Orden=948018, colada=59367, producto=9156)
  Lingada(id=E1836812, Orden=948018, colada=59367, producto=9156)
  Lingada(id=E1836813, Orden=948018, colada=59367, producto=9156)
  Lingada(id=E1836814, Orden=948018, colada=59367, producto=9156)
  Lingada(id=E1836815, Orden=948018, colada=59367, producto=9156)
7D7 → 10 lingadas @ (222.8, 114.6)
  Lingada(id=E1837093, Orden=8076101, colada=28848, producto=85010)
  Lingada(id=E1837094, Orden=8076101, colada=28848, producto=85010)
  Lingada(id=E1837095, Orden=8076101, colada=28848, producto=85010)
  Lingada(id=D0915694, Orden=947605, colada=59151, producto=4204)
  Lingada(id=E1837260, Orden=945178, colada=52249, producto=50202)
  Lingada(id=E1837262, Orden=945178, colada=52249, producto=50202)
